filename,title,authors,journal_year,species_covered,has_extractable_geometry,is_duplicate_of_existing
N5-N6-abinitio.pdf,Decomposition mechanism of the polynitrogen N5 and N6 clusters and their ions,"Nguyen M.T., Ha T.K.",Chem. Phys. Lett. 335 (2001) 311,"N5, N5+, N5-, N6, N6+, N6- (all three charge states for both formulas)",YES,NO
N5.pdf,Ab initio and density functional theory study of the mechanism of synthesis of the N5+ cation,"Xu W.G., Li G.L., Wang L.J., Li S., Li Q.S.",Chem. Phys. Lett. 314 (1999) 300,"N5+ (synthesis pathway from N2F+ and HN3, TS structures)",YES,NO
N5+.pdf,"Polynitrogen Chemistry. Synthesis, Characterization, and Crystal Structure of Surprisingly Stable Fluoroantimonate Salts of N5+","Vij A., Wilson W.W., Vij V., Tham F.S., Sheehy J.A., Christe K.O.","J. Am. Chem. Soc. 2001, 123, 6308","N5+ (V-shaped, C2v) - EXPERIMENTAL X-ray crystal structure, not just computed",YES,NO
N6-3N2.pdf,On the dissociation of N6 into 3 N2 molecules,"Gagliardi L., Evangelisti S., Barone V., Roos B.O.",Chem. Phys. Lett. 320 (2000) 518,"N6 (linear diazide form, C2 symmetric TS)",YES,NO
N6.pdf,Decomposition mechanism of the polynitrogen N5 and N6 clusters and their ions,"Nguyen M.T., Ha T.K.",Chem. Phys. Lett. 335 (2001) 311,DUPLICATE within archive of N5-N6-abinitio.pdf (identical paper/text),YES,NO
N60_marek_03.pdf,Super-high energy-rich nitrogen cluster N60,"Wang L.J., Zgierski M.Z.",Chem. Phys. Lett. 376 (2003) 698,N60 (concave S6 cage),YES,NO
N60-livermore.pdf,[Research Highlights press article] Nitrogen fullerene research summary,"(S&TR staff, summarizing M. Riad Manaa's work)","Science & Technology Review (LLNL), June 2001","N60 fullerene concept (popular-science summary of Manaa CPL 2000 work, no data tables)",NO,NO
N60.pdf,Toward new energy-rich molecular systems: from N10 to N60,Manaa M.R.,Chem. Phys. Lett. 331 (2000) 262,DUPLICATE within archive of N10-N60.pdf (identical paper/text),YES,NO
N6O.pdf,Stabilization of the Pseudo-Benzene N6 Ring with Oxygen,"Wilson K.J., Perera S.A., Bartlett R.J., Watts J.D.","J. Phys. Chem. A 2001, 105, 7693","N/A for pure-N pool - all new structures (N4O, N4O2, N6O, N6O2, N6O3) contain oxygen; bare N6 ring only referenced, not newly reported",NO,NO
N7.pdf,Structure and stability of N7 cluster,"Li Q.S., Hu X.G., Xu W.G.",Chem. Phys. Lett. 287 (1998) 94,"N7 (7 isomers, low spin, 5 confirmed minima)",YES,NO
N72_06.pdf,What Makes the Cylinder-Shaped N72 Cage Stable?,"Zhou H., Wong N.B., Zhou G., Tian A.","J. Phys. Chem. A 2006, 110, 7441",N72 (D3d cylindrical cage),YES,NO
n7b.pdf,Structure and stability of new N7 isomers,"Wang X., Ren Y., Shuai M.B., Wong N.B., Li W.K., Tian A.M.",J. Mol. Struct. (Theochem) 538 (2001) 145,"N7 (5 new isomers beyond previously known 5; 2 confirmed minima: Cs structures 2,5)",YES,NO
N7c.pdf,Structures and stability of N7+ and N7- clusters,"Liu Y.D., Zhao J.F., Li Q.S.",Theor. Chem. Acc. 107 (2002) 140,"N7+ (4 isomers), N7- (5 isomers), low spin",YES,NO
N7d.pdf,A Theoretical Study on Decomposition Pathways of N7+ and N7- Clusters,"Li Q.S., Zhao J.F.","J. Phys. Chem. A (recv. Dec 2001, rev. Apr 2002)","N7+ (C2v open-chain), N7- (C2 open-chain, Cs cyclic) + decomposition TS",YES,NO
N8.pdf,Theoretical Studies on the Potential Energy Surfaces of N8 Clusters,"Li Q.S., Wang L.J.",J. Phys. Chem. A (recv. Aug 2000),"N8 (Cs, C2h forms) + N5+/N3- dissociation products",YES,NO
N8b.pdf,Stability of N8 isomers and isomerization reaction of N8 (C2v) to N8 (Cs),"Wang L.J., Xu W.G., Li Q.S.",J. Mol. Struct. (Theochem) 531 (2000) 135,"N8 (2 new isomers, C2v and Cs) + isomerization TS",YES,NO
N8c.pdf,An Ab Initio Study of Potential Energy Surfaces for N8 Isomers,"Chung G., Schmidt M.W., Gordon M.S.","J. Phys. Chem. A 2000, 104, 5647","N8: octaazapentalene, azidopentazole, diazidodiimide (cis/trans), cubic N8",YES,NO
n8d.pdf,"First-principles DFT study of the structural, electronic and vibrational properties of azidopentazole","Kortus J., Pederson M.R., Richardson S.L.",Chem. Phys. Lett. 340 (2001) 565-570,DUPLICATE within archive of azidopentazole.pdf (identical paper/text),YES,NO
N8e.pdf,A theoretical study of ten N8 isomers,"Gagliardi L., Evangelisti S., Roos B.O., Widmark P.O.",J. Mol. Struct. (Theochem) 428 (1998) 1-8,"N8 - TEN isomers (tetrahedron, trigonal prism, cube, dodecahedron-analog + 6 more), HF/MP2/DFT + frequencies; scanned, text read via image",YES,NO
poly-N.pdf,"Besides N2, What Is the Most Stable Molecule Composed Only of Nitrogen Atoms?","Glukhovtsev M.N., Jiao H., Schleyer P.v.R.","Inorg. Chem. 1996, 35, 7124","Already fully processed in existing biblio_polyN corpus (N4,N6,N8,N10,N12,N20 + pentazole family)",YES,YES
polynitrogen_dft_04.pdf,Prediction of New Phases of Nitrogen at High Pressure from First-Principles Simulations,"Mattson W.D., Sanchez-Portal D., Chiesa S., Martin R.M.","Phys. Rev. Lett. 93, 125501 (2004)","Periodic high-pressure solid N phases (metallic chainlike, cubic gauche), not isolated clusters",NO,NO
polynitrogen.pdf,On a quantitative scale for Lewis acidity and recent progress in polynitrogen chemistry,"Christe K.O., Dixon D.A., McLemore D., Wilson W.W., Sheehy J.A., Boatz J.A.",J. Fluorine Chem. 101 (2000) 151,"Mostly Lewis-acidity scale (106 acids); brief mention of known N5+ synthesis, no new geometry data",NO,NO
polynitrogen1.pdf,Structure and Stability of Polynitrogen Molecules and Their Spectroscopic Characteristics,"Bartlett R.J., Fau S., Tobita M., Wilson K., Perera A.","QTP Univ. Florida report (AFOSR-DARPA), undated",Already fully processed in existing biblio_polyN corpus (25 GFN2-xTB-relaxed structures),YES,YES
SamartzisWodtke2006IRPC.pdf,All-nitrogen chemistry: how far are we from N60?,"Samartzis P.C., Wodtke A.M.",Int. Rev. Phys. Chem. 25 (2006) 527,"REVIEW covering N3,N4,N5,N6,N7,N8 (and outlook to N60) - likely cites/reproduces structures from other papers rather than reporting new geometries; valuable as a citation index for the future literature-search phase",UNCLEAR,NO
